id,title,difficulty,category,concept,domain,role,context,problem_statement,tags
JAV-00001,HashSet assessment for Data Engineering cloud migration,Easy,JAVA_COLLECTIONS,HashSet,Data Engineering,SDET,cloud migration,"Design, code or whiteboard a easy solution involving HashSet for Data Engineering cloud migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashset,data-engineering,sdet"
JAV-00002,HashSet assessment for Insurance API-first transformation,Expert,JAVA_COLLECTIONS,HashSet,Insurance,Test Manager,API-first transformation,"Design, code or whiteboard a expert solution involving HashSet for Insurance API-first transformation. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashset,insurance,test-manager"
JAV-00003,LinkedHashMap assessment for SaaS enterprise modernization,Hard,JAVA_COLLECTIONS,LinkedHashMap,SaaS,QA Practice Lead,enterprise modernization,"Design, code or whiteboard a hard solution involving LinkedHashMap for SaaS enterprise modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,linkedhashmap,saas,qa-practice-lead"
JAV-00004,HashSet assessment for Banking data platform migration,Expert,JAVA_COLLECTIONS,HashSet,Banking,QE Architect,data platform migration,"Design, code or whiteboard a expert solution involving HashSet for Banking data platform migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashset,banking,qe-architect"
JAV-00005,LinkedHashMap assessment for SaaS test automation modernization,Medium,JAVA_COLLECTIONS,LinkedHashMap,SaaS,QE Architect,test automation modernization,"Design, code or whiteboard a medium solution involving LinkedHashMap for SaaS test automation modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,linkedhashmap,saas,qe-architect"
JAV-00006,HashSet assessment for Healthcare Payer CI/CD quality gate adoption,Medium,JAVA_COLLECTIONS,HashSet,Healthcare Payer,Lead Quality Engineer,CI/CD quality gate adoption,"Design, code or whiteboard a medium solution involving HashSet for Healthcare Payer CI/CD quality gate adoption. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashset,healthcare-payer,lead-quality-engineer"
JAV-00007,ArrayList assessment for Insurance cloud migration,Easy,JAVA_COLLECTIONS,ArrayList,Insurance,SDET,cloud migration,"Design, code or whiteboard a easy solution involving ArrayList for Insurance cloud migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,arraylist,insurance,sdet"
JAV-00008,HashMap assessment for Supply Chain observability and production readiness,Medium,JAVA_COLLECTIONS,HashMap,Supply Chain,QA Practice Lead,observability and production readiness,"Design, code or whiteboard a medium solution involving HashMap for Supply Chain observability and production readiness. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashmap,supply-chain,qa-practice-lead"
JAV-00009,ArrayList assessment for SaaS API-first transformation,Easy,JAVA_COLLECTIONS,ArrayList,SaaS,Lead Quality Engineer,API-first transformation,"Design, code or whiteboard a easy solution involving ArrayList for SaaS API-first transformation. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,arraylist,saas,lead-quality-engineer"
JAV-00010,Deque assessment for Data Engineering observability and production readiness,Easy,JAVA_COLLECTIONS,Deque,Data Engineering,QE Architect,observability and production readiness,"Design, code or whiteboard a easy solution involving Deque for Data Engineering observability and production readiness. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,deque,data-engineering,qe-architect"
JAV-00011,HashMap assessment for SaaS cloud migration,Medium,JAVA_COLLECTIONS,HashMap,SaaS,Lead Quality Engineer,cloud migration,"Design, code or whiteboard a medium solution involving HashMap for SaaS cloud migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashmap,saas,lead-quality-engineer"
JAV-00012,HashSet assessment for SaaS regulatory reporting modernization,Hard,JAVA_COLLECTIONS,HashSet,SaaS,Lead Quality Engineer,regulatory reporting modernization,"Design, code or whiteboard a hard solution involving HashSet for SaaS regulatory reporting modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashset,saas,lead-quality-engineer"
JAV-00013,ArrayList assessment for SaaS observability and production readiness,Easy,JAVA_COLLECTIONS,ArrayList,SaaS,SDET,observability and production readiness,"Design, code or whiteboard a easy solution involving ArrayList for SaaS observability and production readiness. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,arraylist,saas,sdet"
JAV-00014,LinkedHashSet assessment for Retail enterprise modernization,Hard,JAVA_COLLECTIONS,LinkedHashSet,Retail,QE Architect,enterprise modernization,"Design, code or whiteboard a hard solution involving LinkedHashSet for Retail enterprise modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,linkedhashset,retail,qe-architect"
JAV-00015,HashMap assessment for Banking test automation modernization,Medium,JAVA_COLLECTIONS,HashMap,Banking,Data QA Engineer,test automation modernization,"Design, code or whiteboard a medium solution involving HashMap for Banking test automation modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashmap,banking,data-qa-engineer"
JAV-00016,LinkedHashSet assessment for Healthcare Payer observability and production readiness,Expert,JAVA_COLLECTIONS,LinkedHashSet,Healthcare Payer,Automation Architect,observability and production readiness,"Design, code or whiteboard a expert solution involving LinkedHashSet for Healthcare Payer observability and production readiness. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,linkedhashset,healthcare-payer,automation-architect"
JAV-00017,HashMap assessment for Insurance cloud migration,Hard,JAVA_COLLECTIONS,HashMap,Insurance,QE Architect,cloud migration,"Design, code or whiteboard a hard solution involving HashMap for Insurance cloud migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashmap,insurance,qe-architect"
JAV-00018,LinkedHashMap assessment for Cloud Modernization observability and production readiness,Easy,JAVA_COLLECTIONS,LinkedHashMap,Cloud Modernization,Test Manager,observability and production readiness,"Design, code or whiteboard a easy solution involving LinkedHashMap for Cloud Modernization observability and production readiness. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,linkedhashmap,cloud-modernization,test-manager"
JAV-00019,HashSet assessment for Life Sciences observability and production readiness,Easy,JAVA_COLLECTIONS,HashSet,Life Sciences,Test Manager,observability and production readiness,"Design, code or whiteboard a easy solution involving HashSet for Life Sciences observability and production readiness. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashset,life-sciences,test-manager"
JAV-00020,LinkedHashMap assessment for Banking cloud migration,Easy,JAVA_COLLECTIONS,LinkedHashMap,Banking,QA Practice Lead,cloud migration,"Design, code or whiteboard a easy solution involving LinkedHashMap for Banking cloud migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,linkedhashmap,banking,qa-practice-lead"
JAV-00021,Deque assessment for Insurance observability and production readiness,Hard,JAVA_COLLECTIONS,Deque,Insurance,Lead Quality Engineer,observability and production readiness,"Design, code or whiteboard a hard solution involving Deque for Insurance observability and production readiness. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,deque,insurance,lead-quality-engineer"
JAV-00022,HashMap assessment for Retail cloud migration,Medium,JAVA_COLLECTIONS,HashMap,Retail,SDET,cloud migration,"Design, code or whiteboard a medium solution involving HashMap for Retail cloud migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashmap,retail,sdet"
JAV-00023,LinkedHashMap assessment for Retail API-first transformation,Easy,JAVA_COLLECTIONS,LinkedHashMap,Retail,SDET,API-first transformation,"Design, code or whiteboard a easy solution involving LinkedHashMap for Retail API-first transformation. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,linkedhashmap,retail,sdet"
JAV-00024,Deque assessment for SaaS regulatory reporting modernization,Medium,JAVA_COLLECTIONS,Deque,SaaS,QE Architect,regulatory reporting modernization,"Design, code or whiteboard a medium solution involving Deque for SaaS regulatory reporting modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,deque,saas,qe-architect"
JAV-00025,LinkedHashSet assessment for SaaS cloud migration,Medium,JAVA_COLLECTIONS,LinkedHashSet,SaaS,Automation Architect,cloud migration,"Design, code or whiteboard a medium solution involving LinkedHashSet for SaaS cloud migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,linkedhashset,saas,automation-architect"
JAV-00026,LinkedHashSet assessment for Life Sciences CI/CD quality gate adoption,Medium,JAVA_COLLECTIONS,LinkedHashSet,Life Sciences,Automation Architect,CI/CD quality gate adoption,"Design, code or whiteboard a medium solution involving LinkedHashSet for Life Sciences CI/CD quality gate adoption. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,linkedhashset,life-sciences,automation-architect"
JAV-00027,LinkedHashSet assessment for Supply Chain cloud migration,Medium,JAVA_COLLECTIONS,LinkedHashSet,Supply Chain,Lead Quality Engineer,cloud migration,"Design, code or whiteboard a medium solution involving LinkedHashSet for Supply Chain cloud migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,linkedhashset,supply-chain,lead-quality-engineer"
JAV-00028,HashMap assessment for Banking cloud migration,Easy,JAVA_COLLECTIONS,HashMap,Banking,QA Practice Lead,cloud migration,"Design, code or whiteboard a easy solution involving HashMap for Banking cloud migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashmap,banking,qa-practice-lead"
JAV-00029,Deque assessment for Healthcare Payer cloud migration,Easy,JAVA_COLLECTIONS,Deque,Healthcare Payer,Test Manager,cloud migration,"Design, code or whiteboard a easy solution involving Deque for Healthcare Payer cloud migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,deque,healthcare-payer,test-manager"
JAV-00030,LinkedHashSet assessment for Retail regulatory reporting modernization,Expert,JAVA_COLLECTIONS,LinkedHashSet,Retail,Lead Quality Engineer,regulatory reporting modernization,"Design, code or whiteboard a expert solution involving LinkedHashSet for Retail regulatory reporting modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,linkedhashset,retail,lead-quality-engineer"
JAV-00031,HashSet assessment for Insurance regulatory reporting modernization,Medium,JAVA_COLLECTIONS,HashSet,Insurance,Data QA Engineer,regulatory reporting modernization,"Design, code or whiteboard a medium solution involving HashSet for Insurance regulatory reporting modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashset,insurance,data-qa-engineer"
JAV-00032,LinkedHashMap assessment for Life Sciences cloud migration,Medium,JAVA_COLLECTIONS,LinkedHashMap,Life Sciences,QE Architect,cloud migration,"Design, code or whiteboard a medium solution involving LinkedHashMap for Life Sciences cloud migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,linkedhashmap,life-sciences,qe-architect"
JAV-00033,ArrayList assessment for Data Engineering CI/CD quality gate adoption,Expert,JAVA_COLLECTIONS,ArrayList,Data Engineering,Automation Architect,CI/CD quality gate adoption,"Design, code or whiteboard a expert solution involving ArrayList for Data Engineering CI/CD quality gate adoption. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,arraylist,data-engineering,automation-architect"
JAV-00034,HashSet assessment for Insurance regulatory reporting modernization,Hard,JAVA_COLLECTIONS,HashSet,Insurance,QA Practice Lead,regulatory reporting modernization,"Design, code or whiteboard a hard solution involving HashSet for Insurance regulatory reporting modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashset,insurance,qa-practice-lead"
JAV-00035,ArrayList assessment for SaaS CI/CD quality gate adoption,Expert,JAVA_COLLECTIONS,ArrayList,SaaS,Data QA Engineer,CI/CD quality gate adoption,"Design, code or whiteboard a expert solution involving ArrayList for SaaS CI/CD quality gate adoption. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,arraylist,saas,data-qa-engineer"
JAV-00036,LinkedHashSet assessment for SaaS CI/CD quality gate adoption,Hard,JAVA_COLLECTIONS,LinkedHashSet,SaaS,QE Architect,CI/CD quality gate adoption,"Design, code or whiteboard a hard solution involving LinkedHashSet for SaaS CI/CD quality gate adoption. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,linkedhashset,saas,qe-architect"
JAV-00037,HashMap assessment for Cloud Modernization data platform migration,Easy,JAVA_COLLECTIONS,HashMap,Cloud Modernization,QA Practice Lead,data platform migration,"Design, code or whiteboard a easy solution involving HashMap for Cloud Modernization data platform migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashmap,cloud-modernization,qa-practice-lead"
JAV-00038,HashSet assessment for Banking enterprise modernization,Expert,JAVA_COLLECTIONS,HashSet,Banking,SDET,enterprise modernization,"Design, code or whiteboard a expert solution involving HashSet for Banking enterprise modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashset,banking,sdet"
JAV-00039,ArrayList assessment for Banking cloud migration,Hard,JAVA_COLLECTIONS,ArrayList,Banking,QE Architect,cloud migration,"Design, code or whiteboard a hard solution involving ArrayList for Banking cloud migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,arraylist,banking,qe-architect"
JAV-00040,Deque assessment for Retail test automation modernization,Hard,JAVA_COLLECTIONS,Deque,Retail,Automation Architect,test automation modernization,"Design, code or whiteboard a hard solution involving Deque for Retail test automation modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,deque,retail,automation-architect"
JAV-00041,HashMap assessment for SaaS regulatory reporting modernization,Medium,JAVA_COLLECTIONS,HashMap,SaaS,QA Practice Lead,regulatory reporting modernization,"Design, code or whiteboard a medium solution involving HashMap for SaaS regulatory reporting modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashmap,saas,qa-practice-lead"
JAV-00042,HashMap assessment for Cloud Modernization enterprise modernization,Medium,JAVA_COLLECTIONS,HashMap,Cloud Modernization,Lead Quality Engineer,enterprise modernization,"Design, code or whiteboard a medium solution involving HashMap for Cloud Modernization enterprise modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashmap,cloud-modernization,lead-quality-engineer"
JAV-00043,HashMap assessment for Insurance observability and production readiness,Hard,JAVA_COLLECTIONS,HashMap,Insurance,QA Practice Lead,observability and production readiness,"Design, code or whiteboard a hard solution involving HashMap for Insurance observability and production readiness. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashmap,insurance,qa-practice-lead"
JAV-00044,LinkedHashSet assessment for SaaS regulatory reporting modernization,Hard,JAVA_COLLECTIONS,LinkedHashSet,SaaS,QE Architect,regulatory reporting modernization,"Design, code or whiteboard a hard solution involving LinkedHashSet for SaaS regulatory reporting modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,linkedhashset,saas,qe-architect"
JAV-00045,HashMap assessment for Healthcare Payer data platform migration,Medium,JAVA_COLLECTIONS,HashMap,Healthcare Payer,Lead Quality Engineer,data platform migration,"Design, code or whiteboard a medium solution involving HashMap for Healthcare Payer data platform migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashmap,healthcare-payer,lead-quality-engineer"
JAV-00046,HashMap assessment for Cloud Modernization CI/CD quality gate adoption,Medium,JAVA_COLLECTIONS,HashMap,Cloud Modernization,QE Architect,CI/CD quality gate adoption,"Design, code or whiteboard a medium solution involving HashMap for Cloud Modernization CI/CD quality gate adoption. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashmap,cloud-modernization,qe-architect"
